date,description,amount,label
2019-09-17,LNK COOPERATIVE SW CD 7420 06DEC19 (CPT),-200.0,transfer
2019-09-18,LV LIFE 03592291015W (DD),-33.03,insurance
2019-09-22,PARK FOOD AND WINE CD 7420 (DEB),-30.46,groceries
2019-09-22,LNK COOPERATIVE SW CD 7420 05DEC19 (CPT),-20.0,transfer
2019-09-25,LNK COOPERATIVE SW CD 7420 03DEC19 (CPT),-200.0,transfer
2019-09-26,UBER *TRIP LJSAM (DEB),-17.43,transport
2019-09-29,D ROBERTSON (DEB),-960.0,rent
2019-10-03,19 WINELEAF CD 7420 (DEB),-17.0,dining
2019-10-05,19 KATE EYR G D LTD KEGD (FPI),790.0,income
2019-10-08,LNK COOPERATIVE SW CD 7420 01DEC19 (CPT),-100.0,transfer
2019-10-12,LNK PO MITCHAM LAN CD 7420 30NOV19 (CPT),-10.0,transfer
2019-10-12,19 MIS BAR MLECZNY CD 7420 (DEB),-28.9,dining
2019-10-16,19 SPORTSDIRECT 252 CD 7420 (DEB),-27.99,shopping
2019-10-19,19 KATE EYR G D LTD KEGD (FPI),860.0,income
2019-10-22,19 LOYD STREATHAM HIG (CSH),730.0,income
2019-10-23,A FARAFOSZYN (TFR),100.0,transfer
2019-10-23,19 WINELEAF CD 7420 (DEB),-10.5,dining
2019-10-24,19 LNK PO MITCHAM LAN CD 7420 11SEP15 (CPT),-150.0,transfer
2019-10-27,19 MCDONALDS CD7420 (DEB),-25.79,dining
2019-10-30,19 SUPER CHOICE CD 7420 (DEB),-76.6,groceries
2019-11-05,19 TESCO STORES 6765 CD 7420 (DEB),-42.6,groceries
2019-11-06,19 CROY CTRL 773001 (DEB),-200.12,tax
2019-11-07,19 VODAFONE LTD 7014378191-1001 (DD),-50.0,utilities
2019-11-11,19 LOYD ROYDON CENTR CD 7420 (CPT),-200.0,transfer
2019-11-13,19 NIKE FACTORY STORE CD 7420 (DEB),-250.0,shopping
2019-11-13,19 LOYD STREATHAM HIG (CSH),340.0,income
2019-11-17,19 KINGS TUN CD 7420 (DEB),-56.6,dining
2019-11-18,19 LNK COOPERATIVE SW CD 7420 17NOV19 (CPT),-170.0,transfer
2019-11-19,19 WESTERN VILLA CD7420 (DEB),-185.6,dining
2019-11-19,19 P ADAMCZUK KASA (TFR),210.0,transfer
2019-11-22,19 BEDFORD TAVERN CD 7420 (DEB),-198.0,dining
2019-11-23,MCDONALDS DC 7420 (DEB),-16.34,dining
2019-11-26,19 KATE EYR G D LTD KEGD (FPI),960.0,income
2019-11-27,LNK WEST NORWOOD 1 CD 7420 27NOV19 (CPT),-70.0,transfer
2019-11-28,19 DELIGHT CD 7420 (DEB),-133.45,dining
2019-11-29,19 Amazon UK Marketpl CD 7420 (DEB),-262.0,shopping
Oct 2,Electronic Deposit From 36 TREAS 310 N00 MISC PAY,7265.0,income
Oct 3,Electronic Deposit From 36 TREAS 310 N00 MISC PAY,6400.0,income
Oct 4,Electronic Deposit From CGS ADMINISTATOR Y00 HCCLAIMPMT267605,11911.98,income
Oct 11,Electronic Deposit From CGS ADMINISTATOR Y00 HCCLAIMPMT267605,4972.84,income
Oct 12,Electronic Deposit From 36 TREAS 310 N00 MISC PAY,4510.0,income
Oct 12,Electronic Deposit From CGS ADMINISTATOR Y00 HCCLAIMPMT267605,5597.43,income
Oct 16,Electronic Deposit From 36 TREAS 310 N00 MISC PAY,2641.08,income
Oct 17,Electronic Deposit From CGS ADMINISTATOR Y00 HCCLAIMPMT267605,3036.78,income
Oct 20,Electronic Deposit From 36 TREAS 310 N00 MISC PAY,760.0,income
Oct 20,Electronic Deposit From CGS ADMINISTATOR Y00 HCCLAIMPMT267605,11414.48,income
Oct 23,Electronic Deposit From 36 TREAS 310 N00 MISC PAY,3150.0,income
Oct 24,Electronic Deposit From CGS ADMINISTATOR Y00 HCCLAIMPMT267605,305.71,income
Oct 24,Electronic Deposit From 36 TREAS 310 N00 MISC PAY,660.0,income
Oct 25,Electronic Deposit From CGS ADMINISTATOR Y00 HCCLAIMPMT267605,11572.01,income
Oct 27,Electronic Deposit From 36 TREAS 310 N00 MISC PAY,360.0,income
Oct 27,Electronic Deposit From CGS ADMINISTATOR Y00 HCCLAIMPMT267605,5819.54,income
Oct 31,Electronic Deposit From CGS ADMINISTATOR Y00 HCCLAIMPMT267605,7307.26,income
Oct 2,Debit Purchase - VISA On 092917 MISSION KS PANERA BREAD #20,-7.0,dining
Oct 2,Debit Purchase - VISA On 092917 MISSION KS CHICK-FIL-A #029,-7.02,dining
Oct 4,Debit Purchase - VISA On 100317 WWW.SOS.MO.G MO SEC OF STATE,-51.25,fees
Oct 6,Debit Purchase - VISA On 100517 800-5563012 KS FREDPRYOR CAREER,-149.0,education
Oct 10,Debit Purchase - VISA On 100617 816-7638200 MO THE PLUMBING PRO,-372.0,home_maintenance
Oct 6,Electronic Withdrawal To BlueKc Com Stlmt N00 WEB PYMNT,-195.34,insurance
Oct 6,Customer Withdrawal,-500.0,withdrawal
Oct 12,Branch Account Transfer To Account,-8000.0,transfer
Oct 12,Branch Account Transfer To Account,-12000.0,transfer
Oct 16,Electronic Withdrawal From PHILA INS CO N00 INS IN,-5.0,insurance
Oct 16,Analysis Service Charge,-24.95,fees
Oct 16,Electronic Withdrawal From PHILA INS CO N00 INS IN,-7514.68,insurance
Oct 25,Electronic Withdrawal From ATT N00 Payment,-308.48,utilities
Oct 25,Branch Account Transfer To Account,-7700.0,transfer
Oct 25,Branch Account Transfer To Account,-10776.0,transfer
2024-01-15,IMPS-MOB/Fund Trf/901234567/SalaryJan24,45000.0,income
2024-01-15,POS-VISA/APOLLO PHARMACY/901412345678,-235.5,healthcare
2024-01-15,UBER *TRIP HK892 (DEB),-322.45,transport
2024-01-16,ATM-NFS/CASH WITHDRAWAL/+CITY CENTRE/901516,-20000.0,withdrawal
2024-01-16,NACH/TP ACH Home Loan/78901234,-24500.0,loan
2024-01-16,BILLPAY/RECH/AIRTEL POSTPAID/901516789,-899.0,utilities
2024-01-17,POS-VISA/DECATHLON SPORTS/901615999,-3450.0,shopping
2024-01-17,UPI/MOB/901723456/PhonePe/CafeExpresso,-280.0,dining
2024-01-18,DD/HDFC LIFE INS/LIC45678901,-2345.0,insurance
2024-01-18,Electronic Deposit From TREAS 310 MISC PAY,5500.0,income
2024-01-19,NEFT/RENT/JAN24/SHARMA PROP,-35000.0,rent
2024-01-19,POS-VISA/AMAZON.IN/901912345,-2199.0,shopping
2024-01-20,Direct Credit 421520 BONUS Q4 - Internet,25000.0,income
2024-01-20,BILLPAY/RECH/TATASKY DTH/902012345,-549.0,utilities
2024-01-21,POS-VISA/SWIGGY ORDER/902112345,-750.0,dining
2024-01-22,ACH/Health Insurance Premium/91234567,-4500.0,insurance
2024-01-22,IMPS-RIB/Fund Trf/902212345/Emergency fund,-5000.0,transfer
2024-01-23,POS-VISA/MEDICAL STORE/902312345,-890.0,healthcare
2024-01-23,NACH/TP ACH Car Loan/89012345,-12500.0,loan
2024-01-24,Electronic Deposit From CGS ADMINISTATOR HCCLAIMPMT,8750.0,income
2024-01-24,BILLPAY/QUICK/Water Board/902412345,-750.0,utilities
2024-01-25,19 TESCO STORES 6765 CD 7420 (DEB),-4560.0,groceries
2024-01-25,WINELEAF CD 7420 (DEB),-890.0,dining
2024-01-26,LV LIFE 03592291015W (DD),-2300.0,insurance
2024-01-26,UBER *TRIP KL123 (DEB),-450.0,transport
2024-01-27,NEFT/CMS944723497/SALARY/TECH CO,65000.0,income
2024-01-27,POS-VISA/IKEA HOME/902712345,-12500.0,large_purchase
2024-01-28,Direct Debit 165969 FITNESS ONE 201724473788,-2999.0,recurring_payment
2024-01-28,UPI/MOB/902823456/PhonePe/LocalStore,-340.0,groceries
2024-01-29,IMPS-MOB/Fund Trf/902912345/RentTransfer,-40000.0,rent
2024-01-29,POS-VISA/NETFLIX.COM/902912345,-649.0,recurring_payment
2024-01-30,ATM-NFS/CASH WITHDRAWAL/+MALL ROAD/903012,-15000.0,withdrawal
2024-01-30,NACH/TP ACH Education Loan/67890123,-18500.0,loan
2024-02-01,Electronic Deposit From 36 TREAS 310 N00,4500.0,income
2024-02-01,BILLPAY/RECH/JIO FIBER/903112345,-999.0,utilities
2024-02-02,POS-VISA/ZOMATO ORDER/100212345,-890.0,dining
2024-02-02,19 SUPER CHOICE CD 7420 (DEB),-2340.0,groceries
2024-02-03,Direct Credit 421520 CONSULTANT FEE,35000.0,income
2024-02-03,POS-VISA/H&M STORE/100312345,-3450.0,shopping
2024-02-04,IMPS-RIB/Fund Trf/100412345/SavingsAcc,-10000.0,transfer
2024-02-04,DD/MAX LIFE INS/LIC56789012,-3450.0,insurance
2024-02-05,Electronic Withdrawal From ATT Payment,-1299.0,utilities
2024-02-05,POS-VISA/PHARMACY ONE/100512345,-780.0,healthcare
2024-02-06,NACH/TP ACH Personal Loan/56789012,-15500.0,loan
2024-02-06,UPI/MOB/100623456/PhonePe/Groceries,-3450.0,groceries
2024-02-07,Direct Credit 421520 PROJECT PAYMENT,75000.0,income
2024-02-07,POS-VISA/AMAZON PRIME/100712345,-1499.0,recurring_payment
2024-02-08,IMPS-MOB/Fund Trf/100812345/EmergencyFund,-25000.0,transfer
2024-02-08,NACH/TP ACH Insurance/45678901,-5500.0,insurance
2024-02-09,ATM-NFS/CASH WITHDRAWAL/+CENTRAL/100912,-5000.0,withdrawal
2024-02-09,POS-VISA/DOMINOS/100912345,-750.0,dining
2024-02-10,Electronic Deposit From CGS ADMINISTATOR Y00,12500.0,income
2024-02-10,BILLPAY/RECH/ELECTRICITY/101012345,-3450.0,utilities
2024-02-11,Direct Debit 165969 GYM MONTHLY 201724473788,-1999.0,recurring_payment
2024-02-11,POS-VISA/MEDPLUS/101112345,-890.0,healthcare
2024-02-12,NEFT/RENT/FEB24/SHARMA PROP,-35000.0,rent
2024-02-12,UPI/MOB/101223456/PhonePe/Restaurant,-1200.0,dining
2024-02-13,Electronic Withdrawal To Insurance Premium,-4500.0,insurance
2024-02-13,POS-VISA/FLIPKART/101312345,-4500.0,shopping
2024-02-14,Direct Credit 421520 SALARY FEB,55000.0,income
2024-02-14,BILLPAY/RECH/VODAFONE/101412345,-799.0,utilities
2024-02-15,IMPS-RIB/Fund Trf/101512345/InvestmentAcc,-20000.0,transfer
2024-02-15,POS-VISA/APOLLO MED/101512345,-1200.0,healthcare
2024-02-16,NACH/TP ACH Home Loan EMI/34567890,-24500.0,loan
2024-02-16,UPI/MOB/101623456/PhonePe/LocalMart,-2800.0,groceries
2024-02-17,Electronic Deposit From TREAS 310 MISC PAY,6500.0,income
2024-02-17,POS-VISA/NIKE STORE/101712345,-4500.0,shopping
2024-02-18,IMPS-MOB/Fund Trf/101812345/EmergencyTrf,-15000.0,transfer
2024-02-18,Direct Debit 165969 SPOTIFY 201724473788,-199.0,recurring_payment
2024-02-19,ATM-NFS/CASH WITHDRAWAL/+SOUTH EXT/101912,-10000.0,withdrawal
2024-02-19,POS-VISA/RESTAURANT HUT/101912345,-2300.0,dining
2024-02-20,Electronic Deposit From CGS ADMINISTATOR Y00,9500.0,income
2024-02-20,BILLPAY/RECH/GAS BILL/102012345,-850.0,utilities
2025-01-01,,-350.0,to_review
2025-01-02,,500.0,to_review
2025-01-03,NETFLIX monthly sub,-15.99,recurring_payment
2025-01-03,SPOTIFY monthly sub,-9.99,recurring_payment
2025-01-04,MCDonald's #5456 dine in,-12.0,dining
2025-01-05,Planet Fitness membership,-20.0,recurring_payment
2025-01-06,Amazon new laptop bag,-40.0,shopping
Oct 19,Utility payment for electricity,50.0,utilities
Oct 16,Philadelphia Insurance Co,3777.34,recurring_payment
Oct 11,Aptiva Therapy,2500.0,recurring_payment
Oct 31,Bethlehem Home Healthcare,6000.0,unusual_insurance

